time,peak
0.000726,0.000000
0.002177,0.000000
0.003628,0.000000
0.005079,0.000000
0.006531,0.000000
0.007982,0.000000
0.009433,0.000000
0.010884,0.000000
0.012336,0.000000
0.013787,0.000000
0.015238,0.000000
0.016689,0.000000
0.018141,0.000000
0.019592,0.000000
0.021043,0.000000
0.022494,0.000000
0.023946,0.000000
0.025397,0.000000
0.026848,0.000000
0.028299,0.000000
0.029751,0.000000
0.031202,0.000000
0.032653,0.000000
0.034104,0.000000
0.035556,0.000000
0.037007,0.000000
0.038458,0.000000
0.039909,0.000000
0.041361,0.000000
0.042812,0.000000
0.044263,0.000000
0.045714,0.000000
0.047166,0.000000
0.048617,0.000000
0.050068,0.000000
0.051519,0.000000
0.052971,0.000000
0.054422,0.000000
0.055873,0.000000
0.057324,0.000000
0.058776,0.000000
0.060227,0.000000
0.061678,0.000000
0.063129,0.000000
0.064580,0.000000
0.066032,0.000000
0.067483,0.000000
0.068934,0.000000
0.070385,0.000000
0.071837,0.000000
0.073288,0.000000
0.074739,0.000000
0.076190,0.000000
0.077642,0.000000
0.079093,0.000000
0.080544,0.000000
0.081995,0.000000
0.083447,0.000000
0.084898,0.000000
0.086349,0.000000
0.087800,0.000000
0.089252,0.000000
0.090703,0.000000
0.092154,0.000000
0.093605,0.000000
0.095057,0.000000
0.096508,0.000000
0.097959,0.000000
0.099410,0.000000
0.100862,0.000000
0.102313,0.000000
0.103764,0.000000
0.105215,0.000000
0.106667,0.000000
0.108118,0.000000
0.109569,0.000000
0.111020,0.000000
0.112472,0.000000
0.113923,0.000000
0.115374,0.000000
0.116825,0.000000
0.118277,0.000000
0.119728,0.000000
0.121179,0.000000
0.122630,0.000000
0.124082,0.000000
0.125533,0.000000
0.126984,0.000000
0.128435,0.000000
0.129887,0.000000
0.131338,0.000448
0.132789,0.000516
0.134240,0.000551
0.135692,0.000551
0.137143,0.000207
0.138594,0.000275
0.140045,0.000241
0.141497,0.000207
0.142948,0.000172
0.144399,0.000310
0.145850,0.000585
0.147302,0.001549
0.148753,0.001274
0.150204,0.000930
0.151655,0.006921
0.153107,0.011500
0.154558,0.036257
0.156009,0.024481
0.157460,0.028096
0.158912,0.040629
0.160363,0.025893
0.161814,0.034983
0.163265,0.028613
0.164717,0.034260
0.166168,0.031987
0.167619,0.030024
0.169070,0.040423
0.170522,0.035706
0.171973,0.036566
0.173424,0.038873
0.174875,0.031505
0.176327,0.041008
0.177778,0.022415
0.179229,0.027098
0.180680,0.030989
0.182132,0.024309
0.183583,0.029542
0.185034,0.021141
0.186485,0.022966
0.187937,0.020556
0.189388,0.021451
0.190839,0.026306
0.192290,0.026271
0.193741,0.032159
0.195193,0.029680
0.196644,0.018524
0.198095,0.038357
0.199546,0.039424
0.200998,0.038805
0.202449,0.035843
0.203900,0.031092
0.205351,0.036188
0.206803,0.033295
0.208254,0.043005
0.209705,0.048790
0.211156,0.052922
0.212608,0.040939
0.214059,0.064973
0.215510,0.051682
0.216961,0.067555
0.218413,0.057088
0.219864,0.072238
